"sp";"photo";"taxref";"flore";"family";"rank";"source";"obs";"credit";"...10";"...11";"...12";"attribution";"idphoto";"idobs"
"Abildgaardia ovata";;;;"Cyperaceae";;;;;;;;;;
"Acroceras elegans";"http://mediaphoto.mnhn.fr/media/1445439854637hXrXBDndX6lRxXmY";;;"Poaceae";1;"mnhn";"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00852393";"MNHN - Paris, Museum National d'Histoire Naturelle, GLB - 2012 CC-BY";;;;;;
"Acroceras hubbardii";"https://inaturalist-open-data.s3.amazonaws.com/photos/103348089/large.jpg?1604677658";;"Panicum hubbardii";"Poaceae";1;"inat";"https://www.inaturalist.org/observations/64296738";;;;;"no rights reserved";"103348089";"64296738"
"Acroceras hubbardii";"https://inaturalist-open-data.s3.amazonaws.com/photos/104635096/large.jpg?1605555268";;"Panicum hubbardii";"Poaceae";2;"inat";"https://www.inaturalist.org/observations/65029262";;;;;"no rights reserved";"104635096";"65029262"
"Acroceras hubbardii";"https://inaturalist-open-data.s3.amazonaws.com/photos/103402711/large.jpg?1604708899";;"Panicum hubbardii";"Poaceae";3;"inat";"https://www.inaturalist.org/observations/64328441";;;;;"no rights reserved";"103402711";"64328441"
"Acroceras hubbardii";"https://inaturalist-open-data.s3.amazonaws.com/photos/104634524/large.jpg?1605554976";;"Panicum hubbardii";"Poaceae";4;"inat";"https://www.inaturalist.org/observations/65029262";;;;;"no rights reserved";"104634524";"65029262"
"Agrostis capillaris";"https://inaturalist-open-data.s3.amazonaws.com/photos/89286272/large.jpeg?1597082150";;;"Poaceae";1;"inat";"https://www.inaturalist.org/observations/56050220";;;;;"(c) Christian Berg, some rights reserved (CC BY)";"89286272";"56050220"
"Agrostis capillaris";"https://inaturalist-open-data.s3.amazonaws.com/photos/150446270/large.jpeg?1628860474";;;"Poaceae";2;"inat";"https://www.inaturalist.org/observations/90993364";;;;;"(c) Giovanni Perico, some rights reserved (CC BY-NC)";"150446270";"90993364"
"Agrostis capillaris";"https://inaturalist-open-data.s3.amazonaws.com/photos/149235705/large.jpeg?1628367654";;;"Poaceae";3;"inat";"https://www.inaturalist.org/observations/90306664";;;;;"(c) eugenezakharov, some rights reserved (CC BY-NC)";"149235705";"90306664"
"Agrostis capillaris";"https://inaturalist-open-data.s3.amazonaws.com/photos/146975689/large.jpeg?1627538636";;;"Poaceae";4;"inat";"https://www.inaturalist.org/observations/89031666";;;;;"(c) <U+0420><U+0443><U+0441><U+043B><U+0430><U+043D> <U+0426><U+0432><U+0438><U+0440><U+043A><U+043E>, some rights reserved (CC BY-NC)";"146975689";"89031666"
"Agrostis capillaris";"https://inaturalist-open-data.s3.amazonaws.com/photos/142843580/large.jpeg?1626071650";;;"Poaceae";5;"inat";"https://www.inaturalist.org/observations/86683554";;;;;"(c) Tomáš Chvojka, some rights reserved (CC BY-NC)";"142843580";"86683554"
"Agrostis capillaris";"https://inaturalist-open-data.s3.amazonaws.com/photos/58883871/large.jpeg?1577917280";;;"Poaceae";6;"inat";"https://www.inaturalist.org/observations/37172734";;;;;"(c) J Christianson, some rights reserved (CC BY)";"58883871";"37172734"
"Agrostis capillaris";"https://inaturalist-open-data.s3.amazonaws.com/photos/30911545/large.jpg?1549086089";;;"Poaceae";7;"inat";"https://www.inaturalist.org/observations/20025037";;;;;"(c) Joe Potter Butler, some rights reserved (CC BY)";"30911545";"20025037"
"Agrostis salaziensis";"http://mediaphoto.mnhn.fr/media/1441336256996DW1wnkix8wZgkXOw";705796;;"Poaceae";1;"mnhn";"http://coldb.mnhn.fr/catalognumber/mnhn/p/p03381697";"RENOBOTA MNHN - Paris, Museum National d'Histoire Naturelle CC BY";;;;;;
"Agrostis stolonifera";"https://inaturalist-open-data.s3.amazonaws.com/photos/88847132/large.jpeg?1596885026";;"Agrostis stolonifera";"Poaceae";1;"inat";"https://www.inaturalist.org/observations/55782693";;;;;"(c) Christian Berg, some rights reserved (CC BY)";"88847132";"55782693"
"Agrostis stolonifera";"https://inaturalist-open-data.s3.amazonaws.com/photos/146870811/large.jpeg?1627499245";;"Agrostis stolonifera";"Poaceae";2;"inat";"https://www.inaturalist.org/observations/88975698";;;;;"(c) Barbara L. Wilson, some rights reserved (CC BY-NC)";"146870811";"88975698"
"Agrostis stolonifera";"https://inaturalist-open-data.s3.amazonaws.com/photos/149176451/large.jpg?1628352155";;"Agrostis stolonifera";"Poaceae";3;"inat";"https://www.inaturalist.org/observations/90276729";;;;;"(c) urij777, some rights reserved (CC BY-NC)";"149176451";"90276729"
"Agrostis stolonifera";"https://inaturalist-open-data.s3.amazonaws.com/photos/64728075/large.jpeg?1585334099";;"Agrostis stolonifera";"Poaceae";4;"inat";"https://www.inaturalist.org/observations/40830185";;;;;"(c) Gennadiy Okatov, some rights reserved (CC BY-NC)";"64728075";"40830185"
"Agrostis stolonifera";"https://inaturalist-open-data.s3.amazonaws.com/photos/64728013/large.jpeg?1585334069";;"Agrostis stolonifera";"Poaceae";5;"inat";"https://www.inaturalist.org/observations/40830185";;;;;"(c) Gennadiy Okatov, some rights reserved (CC BY-NC)";"64728013";"40830185"
"Agrostis stolonifera";"https://inaturalist-open-data.s3.amazonaws.com/photos/149176397/large.jpg?1628352140";;"Agrostis stolonifera";"Poaceae";6;"inat";"https://www.inaturalist.org/observations/90276729";;;;;"(c) urij777, some rights reserved (CC BY-NC)";"149176397";"90276729"
"Agrostis stolonifera";"https://inaturalist-open-data.s3.amazonaws.com/photos/140962309/large.jpeg?1625422450";;"Agrostis stolonifera";"Poaceae";7;"inat";"https://www.inaturalist.org/observations/85653277";;;;;"(c) Alexander Rumpel, some rights reserved (CC BY-NC)";"140962309";"85653277"
"Alloteropsis paniculata";"https://inaturalist-open-data.s3.amazonaws.com/photos/105333423/large.jpg?1606090400";;;"Poaceae";1;"inat";"https://www.inaturalist.org/observations/65442304";;;;;"no rights reserved";"105333423";"65442304"
"Alloteropsis paniculata";"https://inaturalist-open-data.s3.amazonaws.com/photos/108105410/large.jpg?1608765593";;;"Poaceae";2;"inat";"https://www.inaturalist.org/observations/66980778";;;;;"no rights reserved";"108105410";"66980778"
"Anthoxanthum odoratum";"https://inaturalist-open-data.s3.amazonaws.com/photos/146769358/large.jpeg?1627457314";;"Anthoxanthum odoratum";"Poaceae";1;"inat";"https://www.inaturalist.org/observations/88913937";;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"146769358";"88913937"
"Anthoxanthum odoratum";"https://inaturalist-open-data.s3.amazonaws.com/photos/146769371/large.jpeg?1627457325";;"Anthoxanthum odoratum";"Poaceae";2;"inat";"https://www.inaturalist.org/observations/88913937";;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"146769371";"88913937"
"Anthoxanthum odoratum";"https://inaturalist-open-data.s3.amazonaws.com/photos/165922227/large.jpeg?1635314914";;"Anthoxanthum odoratum";"Poaceae";3;"inat";"https://www.inaturalist.org/observations/99521372";;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"165922227";"99521372"
"Anthoxanthum odoratum";"https://inaturalist-open-data.s3.amazonaws.com/photos/165290032/large.jpeg?1635058148";;"Anthoxanthum odoratum";"Poaceae";4;"inat";"https://www.inaturalist.org/observations/99184098";;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"165290032";"99184098"
"Anthoxanthum odoratum";"https://inaturalist-open-data.s3.amazonaws.com/photos/127330895/large.jpeg?1620440331";;"Anthoxanthum odoratum";"Poaceae";5;"inat";"https://www.inaturalist.org/observations/77838556";;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"127330895";"77838556"
"Anthoxanthum odoratum";"https://inaturalist-open-data.s3.amazonaws.com/photos/127330952/large.jpeg?1620440351";;"Anthoxanthum odoratum";"Poaceae";6;"inat";"https://www.inaturalist.org/observations/77838556";;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"127330952";"77838556"
"Anthoxanthum odoratum";"https://inaturalist-open-data.s3.amazonaws.com/photos/165922249/large.jpeg?1635314934";;"Anthoxanthum odoratum";"Poaceae";7;"inat";"https://www.inaturalist.org/observations/99521372";;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"165922249";"99521372"
"Aristida adscensionis";"https://inaturalist-open-data.s3.amazonaws.com/photos/151149137/large.jpeg?1629104807";;"Aristida adscensionis";"Poaceae";1;"inat";"https://www.inaturalist.org/observations/91379458";;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"151149137";"91379458"
"Aristida adscensionis";"https://inaturalist-open-data.s3.amazonaws.com/photos/151139871/large.jpeg?1629098784";;"Aristida adscensionis";"Poaceae";2;"inat";"https://www.inaturalist.org/observations/91379458";;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"151139871";"91379458"
"Aristida adscensionis";"https://inaturalist-open-data.s3.amazonaws.com/photos/151139895/large.jpeg?1629098803";;"Aristida adscensionis";"Poaceae";3;"inat";"https://www.inaturalist.org/observations/91379458";;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"151139895";"91379458"
"Aristida adscensionis";"https://inaturalist-open-data.s3.amazonaws.com/photos/151139905/large.jpeg?1629098812";;"Aristida adscensionis";"Poaceae";4;"inat";"https://www.inaturalist.org/observations/91379458";;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"151139905";"91379458"
"Aristida adscensionis";"https://inaturalist-open-data.s3.amazonaws.com/photos/151139913/large.jpeg?1629098822";;"Aristida adscensionis";"Poaceae";5;"inat";"https://www.inaturalist.org/observations/91379458";;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"151139913";"91379458"
"Aristida adscensionis";"https://inaturalist-open-data.s3.amazonaws.com/photos/151139939/large.jpeg?1629098843";;"Aristida adscensionis";"Poaceae";6;"inat";"https://www.inaturalist.org/observations/91379458";;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"151139939";"91379458"
"Aristida adscensionis";"https://inaturalist-open-data.s3.amazonaws.com/photos/151139922/large.jpeg?1629098832";;"Aristida adscensionis";"Poaceae";7;"inat";"https://www.inaturalist.org/observations/91379458";;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"151139922";"91379458"
"Aristida mauritiana";"http://mediaphoto.mnhn.fr/media/1442516245660kGDD7L9P1qSqwWjM";;"Aristida mauritiana";"Poaceae";;"mnhn";"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00541689";"MNHN - Paris, Museum National d'Histoire Naturelle, BO - 2007 CC BY";;;;;;
